mssv,ngaythi,url,loaixn,tongdiem,ngay_xet_loai,thoi_gian_nop_bang,ket_qua_xet_loai,year,month,day
9AC7300DXPvAibaEXe9UjnPPEYi4UYL4Pmjsy8Gh,2020-11-23,bangcap/19521996/19521996_bangcap_TOEIC_LR_20201203114432.jpeg,TOEIC_LR,520.0,2021-01-04 21:13:57.343387471,2020-12-03,,2021,1,4
9AF51612XPvAibaEXe9iov3KWPg5dZmSAbesjKsh,2019-08-27,bangcap/15520476/15520476_bangcap_TOEIC_LR_20190918090154.jpg,TOEIC_LR,515.0,2019-10-22 10:55:32.000000000,2019-09-18,,2019,10,22
9B1136D0XPvAibaEXe/SouBySQ9Uj5QTVvKuCo9z,2021-03-20,bangcap/16521261/16521261_bangcap_VNU-EPT_20210425120856.jpeg,VNU-EPT,195.0,2021-05-14 15:22:31.000000000,2021-04-25,,2021,5,14
9B1E9711XPvAibaEXe+65Is9PO18Gx6m3V7M05zK,2020-10-19,bangcap/15520353/15520353_bangcap_TOEIC_LR_20201107095212.jpeg,TOEIC_LR,495.0,2020-12-09 21:13:57.343387471,2020-11-07,,2020,12,9
9B54EA8BXPvAibaEXe/pnXUIwMJHJnzL79TUFr3p,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520669/17520669_chungchi_VNU-EPT_20180123080622.jpg,VNU-EPT,,2018-02-24 21:13:57.343387471,2018-01-23,miễn av2,2018,2,24
9BC20AD6XPvAibaEXe9/83vYrk4yZtjUay1JVUrd,2020-08-09,bangcap/15520615/15520615_bangcap_TOEIC_LR_20200821191724.jpeg,TOEIC_LR,545.0,2020-09-10 09:17:12.000000000,2020-08-21,,2020,9,10
9BDC190BXPvAibaEXe8ptkRJyotmH1/DXcsBbqtm,2019-05-22,bangcap/14520232/14520232_bangcap_TOEIC_LR_20190604202911.jpeg,TOEIC_LR,640.0,2019-07-01 11:22:22.000000000,2019-06-04,,2019,7,1
9BE47B34XPvAibaEXe9o/lUQXb5f/6AFrO+cRdQd,2019-05-25,bangcap/14520314/14520314_bangcap_TOEIC_LR_20200607133537.jpg,TOEIC_LR,745.0,2020-06-23 10:00:15.000000000,2020-06-07,,2020,6,23
9C33BE45XPvAibaEXe8CWH5HVeMbzrlc7EvcttDo,2020-07-19,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18520770/18520770_chungchi_TOEIC_LR_20200804145311.jpg,TOEIC_LR,490.0,2020-08-22 10:40:26.000000000,2020-08-04,,2020,8,22
9C49B6DCXPvAibaEXe+PmhPN+9CWc9y/2V+Vqo9E,2018-10-09,bangcap/14520472/14520472_bangcap_TOEIC_LR_20190211094420.jpg,TOEIC_LR,685.0,2019-04-12 15:33:55.000000000,2019-02-11,,2019,4,12
9C815F62XPvAibaEXe/jA2MATe6eKpLGJuVbUdNX,2021-03-14,bangcap/16521395/16521395_bangcap_TOEIC_SW_20210429153835.png,TOEIC_SW,280.0,2021-05-14 15:49:03.000000000,2021-04-29,,2021,5,14
9C815F62XPvAibaEXe/jA2MATe6eKpLGJuVbUdNX,2021-03-17,bangcap/16521395/16521395_bangcap_TOEIC_LR_20210331094243.jpg,TOEIC_LR,975.0,2021-05-27 16:17:45.000000000,2021-03-31,,2021,5,27
9CD6FC97XPvAibaEXe/uPR0E3TEtQoREyf0wp5Rs,2019-03-21,bangcap/16521291/16521291_bangcap_TOEIC_LR_20200604122024.jpg,TOEIC_LR,620.0,2020-06-25 10:52:26.000000000,2020-06-04,,2020,6,25
9CD6FC97XPvAibaEXe/uPR0E3TEtQoREyf0wp5Rs,2020-06-26,bangcap/16521291/16521291_bangcap_TOEIC_SW_20200630122710.png,TOEIC_SW,210.0,2020-08-06 15:03:21.000000000,2020-06-30,,2020,8,6
