mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0468F73BXPvAibaEXe9T3PnrA+Qsrje9JjPAi+0t,50,50,67,69,71,47,32,18,9,-1,-1,-1,-1,-1,-1,-1
046B7D66XPvAibaEXe8ygSRUk01nIEw5SRlIN9az,80,81,93,92,79,77,76,70,-1,-1,-1,-1,-1,-1,-1,-1
046DFC1EXPvAibaEXe8d5+4VMyfVsJ8BKuqNRrBF,95,100,100,96,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
04703EC6XPvAibaEXe+pyJpvsB6nZNTWzQVDye30,90,85,80,80,82,81,70,-1,-1,-1,-1,-1,-1,-1,-1,-1
047911D8XPvAibaEXe+fPSOag5leTYMAZx0GJa1L,75,72,54,53,76,75,76,74,62,69,53,50,-1,-1,-1,-1
047B5CA3XPvAibaEXe8c53vaOKMxC239GQMYdXlR,83,83,78,83,73,60,68,76,75,65,70,-1,-1,-1,-1,-1
047F2D29XPvAibaEXe+980ee17Pr/43PRdnVgtw+,0,0,0,76,76,69,90,67,62,-1,-1,-1,-1,-1,-1,-1
048C2045XPvAibaEXe+K/omYw1flXbXWqqKF1KWq,60,60,71,58,65,69,83,69,59,25,-1,-1,-1,-1,-1,-1
048D7432XPvAibaEXe/JRR+qhRXMm+5z8ZDG9qI1,65,69,80,78,75,77,68,58,45,-1,-1,-1,-1,-1,-1,-1
048D8334XPvAibaEXe940vcGUhedsJltEkEb7wZ+,0,75,75,100,100,100,100,82,68,-1,-1,-1,-1,-1,-1,-1
048FA4C0XPvAibaEXe87zPkGv/Pdbr2144f7+cX9,80,80,100,81,100,89,86,88,-1,-1,-1,-1,-1,-1,-1,-1
04937B4DXPvAibaEXe+KnWgScvZ27EaSNJL9HdvK,69,73,79,81,77,80,72,56,-1,-1,-1,-1,-1,-1,-1,-1
04993E46XPvAibaEXe/c+AA7R58MU9q6TAEVnxuT,95,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0,80,90,76,90,100,86,94,91,-1,-1,-1,-1,-1,-1,-1,-1
049B1D99XPvAibaEXe+7yjglV2dMp28RxoCMvatp,80,85,80,80,79,85,79,84,67,-1,-1,-1,-1,-1,-1,-1
04AEE489XPvAibaEXe9u8ftW5AKWETBFyE+T26n4,95,100,74,90,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
04B8CFCFXPvAibaEXe/baiw3K4HkF2jQGbVW7zgO,84,84,74,83,82,64,68,68,83,75,70,-1,-1,-1,-1,-1
04C4D9F8XPvAibaEXe+/MvKIb2VAVSyw+efhOMhT,62,39,73,67,73,57,47,-1,-1,-1,-1,-1,-1,-1,-1,-1
04C4E0A3XPvAibaEXe+ZElE6oab11VF55uC8QNjX,90,71,69,79,68,70,73,35,15,55,-1,-1,-1,-1,-1,-1
04C9CC0EXPvAibaEXe/S5mChdnrLm80qIvJ4ryp4,74,74,82,96,90,52,74,90,75,88,80,-1,-1,-1,-1,-1
04CA893BXPvAibaEXe/SouBySQ9Uj8rioKR0JeF/,66,66,80,75,71,80,79,61,50,-1,-1,-1,-1,-1,-1,-1
04CD33EBXPvAibaEXe++B0JyCbXA1LAC7v3DyD0t,95,85,90,90,100,100,86,-1,-1,-1,-1,-1,-1,-1,-1,-1
04CDB750XPvAibaEXe81fV8vPRwD6JYmHnM75CHO,81,100,100,100,100,95,81,-1,-1,-1,-1,-1,-1,-1,-1,-1
04D98A42XPvAibaEXe9whL/t4cdMZYa7qJs9tdR2,67,67,30,5,4,33,60,59,70,60,70,-1,-1,-1,-1,-1
04DDFC34XPvAibaEXe8zLanLNVS12W6u8w3Iex7Z,92,86,76,81,85,75,85,85,77,-1,-1,-1,-1,-1,-1,-1
04F1D2FBXPvAibaEXe+nNcqpVbk9mW5m1LZhoulC,76,70,66,95,71,81,86,65,64,-1,-1,-1,-1,-1,-1,-1
04F87408XPvAibaEXe80b1fr0fH/JuobsigdDkbt,82,72,65,66,73,63,75,65,-1,-1,-1,-1,-1,-1,-1,-1
04F89839XPvAibaEXe8ge2UHv4J4B7N8hGEpTcLN,94,80,80,92,92,87,98,78,77,79,-1,-1,-1,-1,-1,-1
