mssv,hocky,namhoc,dtbhk,sotchk
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,2,2016,1.43,15
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1,2017,3.36,23
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,2,2017,2.53,20
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1,2018,0.0,4
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,2016,7.81,15
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,2,2016,7.28,15
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,2017,7.04,21
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,2,2017,5.61,24
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,2018,4.36,20
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,2016,7.92,13
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,2,2016,6.52,15
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,2017,6.78,23
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,2,2017,7.29,19
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,2018,6.41,17
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,2016,6.13,17
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,2,2016,5.6,16
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,3,2016,8.0,3
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,2017,5.05,24
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,2,2017,6.77,18
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,3,2017,5.0,4
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,2018,7.44,22
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,2016,5.27,19
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,2,2016,3.05,15
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,2017,5.74,19
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,2,2017,6.41,23
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,3,2017,6.5,8
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,2018,4.54,19
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,2016,5.71,17
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,2,2016,1.35,16
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,3,2016,8.0,3
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,2017,4.37,18
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,2,2017,5.38,20
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,2018,6.42,19
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1,2016,3.94,17
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,2,2016,0.05,17
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1,2017,0.37,19
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2016,7.64,19
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,2016,6.87,19
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2017,8.11,21
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,2017,7.82,17
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2018,7.59,17
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,2016,5.62,13
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,2,2016,1.19,11
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,2017,2.47,21
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,2,2017,3.8,13
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,2018,1.0,16
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2016,5.48,19
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,2016,6.14,21
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,3,2016,7.29,7
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2017,5.41,19
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,2017,6.34,17
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2018,6.31,20
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,2016,7.01,17
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,2,2016,6.8,21
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,2017,7.91,20
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,2,2017,7.18,20
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,2018,9.15,17
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,2016,6.11,17
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,2,2016,5.12,20
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,2017,7.04,23
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,2,2017,6.63,23
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,2018,2.33,19
E3B61324XPvAibaEXe+E43ovk5Cnp3VN23jDQPXu,1,2016,1.08,13
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1,2016,6.08,17
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,2,2016,5.56,19
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1,2017,6.65,24
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,2,2017,6.39,17
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,3,2017,8.1,4
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1,2018,6.71,18
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,1,2016,6.38,13
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,2,2016,4.87,15
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,1,2017,5.92,23
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,2,2017,6.32,23
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,1,2018,6.61,18
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,1,2016,8.4,15
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,2,2016,7.49,19
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,1,2017,7.73,24
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,2,2017,8.06,17
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,1,2018,6.07,18
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2016,7.71,15
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,2,2016,7.91,17
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,3,2016,6.2,4
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2017,6.61,24
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,2,2017,7.56,22
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1,2018,8.13,16
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,1,2016,7.32,13
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,2,2016,6.11,17
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,1,2017,6.61,21
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,2,2017,6.85,21
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,1,2018,6.91,22
