mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,78.0,0.0,70.0,0.0,66.0,0.0,82.0,89.0,77.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,90.0,90.0,66.0,0.0,94.0,0.0,67.0,0.0,62.0,0.0,65.0,0.0,80.0,0.0,80.0,0.0
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,59.0,0.0,48.0,48.0,54.0,54.0,-24.0,0.0,24.0,0.0,10.0,0.0,30.0,0.0,15.0,0.0
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,90.0,0.0,72.0,0.0,88.0,0.0,82.0,89.0,81.0,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,86.0,86.0,68.0,68.0,31.0,0.0,64.0,0.0,62.0,0.0,57.0,0.0,76.0,0.0,75.0,0.0
0318F06CXPvAibaEXe+bs0QruU9p+gh3raidhDZk,55.0,43.0,23.0,36.0,47.0,41.0,2.0,5.0,44.0,60.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,80.0,80.0,55.0,0.0,69.0,0.0,58.0,0.0,55.0,0.0,55.0,0.0,76.0,0.0,70.0,0.0
03266385XPvAibaEXe/lSUoyv6mJfDFTmyu2MlmG,85.0,85.0,81.0,81.0,100.0,100.0,100.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,90.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,96.0,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,85.0,85.0,83.0,0.0,81.0,0.0,60.0,0.0,76.0,0.0,65.0,0.0,85.0,0.0,83.0,0.0
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,85.0,0.0,100.0,0.0,90.0,0.0,79.0,0.0,91.0,0.0,87.0,0.0,77.0,0.0,74.0,74.0
033C5F00XPvAibaEXe/k1FtQjAVbeqWlCvlUgwhY,85.0,85.0,81.0,81.0,72.0,72.0,85.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
034628B2XPvAibaEXe+1q4RcodP1hCvlWReLjjvi,60.0,44.0,61.0,76.0,69.0,62.0,73.0,56.0,25.0,50.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,86.0,0.0,52.0,0.0,67.0,0.0,63.0,0.0,80.0,0.0,80.0,0.0,76.0,0.0,70.0,0.0
034B4FD8XPvAibaEXe85dXQU86uLqjYaJrhqTPFA,65.0,65.0,79.0,79.0,74.0,74.0,100.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,95.0,0.0,90.0,0.0,100.0,0.0,100.0,100.0,100.0,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,80.0,80.0,65.0,0.0,82.0,0.0,75.0,0.0,58.0,0.0,66.0,0.0,80.0,0.0,75.0,0.0
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,90.0,0.0,91.0,0.0,79.0,0.0,76.0,84.0,64.0,76.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,84.0,0.0,87.0,87.0,66.0,66.0,82.0,82.0,89.0,0.0,76.0,0.0,68.0,0.0,76.0,0.0
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,90.0,0.0,85.0,0.0,100.0,0.0,95.0,0.0,100.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0
037AF85BXPvAibaEXe+cQfs8oDok9/c/FI5YLNUF,70.0,70.0,74.0,74.0,66.0,66.0,81.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,90.0,0.0,100.0,0.0,100.0,0.0,74.0,91.0,100.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,95.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,99.0,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,78.0,0.0,81.0,0.0,85.0,0.0,75.0,0.0,76.0,0.0,80.0,0.0,98.0,0.0,81.0,0.0
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
