mssv,hocky,namhoc,dtbhk,sotchk
67FF26D5XPvAibaEXe9yFa4Od3meJ2CVR60p0A/F,1,2020,6.56,16
F333B5F4XPvAibaEXe9yFa4Od3meJ9e3oKE/lA/T,1,2020,9.35,15
82CA636BXPvAibaEXe9yFa4Od3meJ7ZJG3rSGdLS,1,2020,8.19,20
BC1CAE45XPvAibaEXe+7lZeRkZH8FfYYnkSCbUEa,1,2020,6.76,20
ADEB2CAAXPvAibaEXe+7lZeRkZH8FQ/HPfNQFoPu,1,2020,4.57,19
F1CA1D4CXPvAibaEXe+7lZeRkZH8Ff1G2+9kl3h9,1,2020,7.91,15
65D8CE6CXPvAibaEXe+7lZeRkZH8FU6hrfaPFlHX,1,2020,3.78,14
842C6987XPvAibaEXe+7lZeRkZH8Fe8JQtjgfS9W,1,2020,8.86,14
944AF17EXPvAibaEXe+7lZeRkZH8FWcTxoxWWj5c,1,2020,8.09,16
AF6C4E77XPvAibaEXe/xyL+qSMmpuhcAnXaQkdzL,1,2020,5.69,14
1936F82CXPvAibaEXe/xyL+qSMmpugy0VxDif0d5,1,2020,9.21,14
5C76BC2AXPvAibaEXe/xyL+qSMmpuvjOddy2tyry,1,2020,8.78,14
FEE5CD54XPvAibaEXe/xyL+qSMmpuryqbTDZAu8U,2,2020,6.21,18
